company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Financial Pacific Ins Co - 31453," 1,000,170 ",0.1055%," 997,166 "," 137,451 ",13.78%,2016
Great Amer Ins Co of NY - 22136," 950,049 ",0.1002%," 1,169,055 "," (37,135)",-3.18%,2016
Greenwich Ins Co - 22322," 887,959 ",0.0936%," 809,255 "," 340,896 ",42.12%,2016
Amica Mut Ins Co - 19976," 864,129 ",0.0911%," 856,859 "," 67,837 ",7.92%,2016
Allied World Assur Co US Inc - 19489," 840,698 ",0.0886%," 2,434,727 "," (16,919)",-0.69%,2016
United States Fire Ins Co - 21113," 804,315 ",0.0848%," 958,421 "," 20,776,315 ",2167.77%,2016
Travelers Ind Co Of CT - 25682," 799,403 ",0.0843%," 920,736 "," (573,429)",-62.28%,2016
Florists Mut Ins Co - 13978," 799,131 ",0.0843%," 425,966 "," 963,137 ",226.11%,2016
St Paul Fire & Marine Ins Co - 24767," 775,314 ",0.0818%," 874,581 "," (119,341)",-13.65%,2016
Eagle W Ins Co - 12890," 730,459 ",0.0770%," 744,469 "," 204,072 ",27.41%,2016
Granite State Ins Co - 23809," 712,400 ",0.0751%," 685,030 "," 9,121 ",1.33%,2016
Federated Serv Ins Co - 28304," 707,802 ",0.0746%," 709,663 "," (54,044)",-7.62%,2016
Hiscox Ins Co Inc - 10200," 705,804 ",0.0744%," 519,726 "," 41,560 ",8.00%,2016
Atlantic Specialty Ins Co - 27154," 654,185 ",0.0690%," 756,158 "," 49,270 ",6.52%,2016
Grange Ins Assn - 22101," 649,502 ",0.0685%," 642,100 "," 51,283 ",7.99%,2016
Horace Mann Ins Co - 22578," 648,672 ",0.0684%," 668,190 "," 297,611 ",44.54%,2016
Truck Ins Exch - 21709," 627,069 ",0.0661%," 669,219 "," 282,370 ",42.19%,2016
Ohio Cas Ins Co - 24074," 616,287 ",0.0650%," 588,561 "," 76,075 ",12.93%,2016
Insurance Co of N Amer - 22713," 615,823 ",0.0649%," 546,308 "," 331,778 ",60.73%,2016
United Cas Ins Co Of Amer - 11142," 588,022 ",0.0620%," 588,062 "," 64,008 ",10.88%,2016
Geovera Ins Co - 10799," 585,094 ",0.0617%," 578,784 "," 233,393 ",40.32%,2016
QBE Ins Corp - 39217," 558,941 ",0.0589%," 1,272,396 "," (779,472)",-61.26%,2016
Universal Underwriters Ins Co - 41181," 482,431 ",0.0509%," 731,716 "," 570,894 ",78.02%,2016
Merced Prop & Cas Co - 15768," 429,603 ",0.0453%," 430,872 "," 156,696 ",36.37%,2016
Mitsui Sumitomo Ins Co of Amer - 20362," 369,840 ",0.0390%," 279,363 "," 100,214 ",35.87%,2016
American Alt Ins Corp - 19720," 368,151 ",0.0388%," 460,526 "," 116,527 ",25.30%,2016
Armed Forces Ins Exch - 41459," 323,354 ",0.0341%," 333,590 "," 561,480 ",168.31%,2016
Mapfre Ins Co - 23876," 320,860 ",0.0338%," 337,238 "," 257,979 ",76.50%,2016
Riverport Ins Co - 36684," 294,962 ",0.0311%," 847,500 "," 67,907 ",8.01%,2016
Guideone Specialty Mut Ins Co - 14559," 290,300 ",0.0306%," 310,142 "," (5,052)",-1.63%,2016
Nationwide Mut Fire Ins Co - 23779," 255,816 ",0.0270%," 265,289 "," 14,338 ",5.40%,2016
Arch Ins Co - 11150," 233,403 ",0.0246%," 290,801 "," 102,318 ",35.18%,2016
Great Amer Ins Co - 16691," 223,493 ",0.0236%," 160,146 "," (12,705)",-7.93%,2016
Hanover Ins Co - 22292," 221,322 ",0.0233%," 214,759 "," (45,810)",-21.33%,2016
Citizens Ins Co Of Amer - 31534," 216,607 ",0.0228%," 201,623 "," 103,651 ",51.41%,2016
General Cas Co Of WI - 24414," 208,622 ",0.0220%," 125,224 "," 37,439 ",29.90%,2016
Everest Natl Ins Co  - 10120," 202,185 ",0.0213%," 108,996 "," 11,007 ",10.10%,2016
Kookmin Best Ins Co Ltd - 37800," 199,354 ",0.0210%," 145,544 "," 107,292 ",73.72%,2016
Sutter Ins Co - 32107," 194,494 ",0.0205%," 204,677 "," 56,049 ",27.38%,2016
Sequoia Ins Co - 22985," 192,685 ",0.0203%," 192,685 "," 140,812 ",73.08%,2016
California Cas Ind Exch - 20117," 185,433 ",0.0196%," 190,023 "," 86,179 ",45.35%,2016
Hartford Cas Ins Co - 29424," 182,749 ",0.0193%," 200,356 "," 327,706 ",163.56%,2016
California Mut Ins Co - 27480," 180,565 ",0.0190%," 181,942 "," 210,665 ",115.79%,2016
Massachusetts Bay Ins Co - 22306," 167,588 ",0.0177%," 169,312 "," (66,285)",-39.15%,2016
Ace Amer Ins Co - 22667," 165,358 ",0.0174%," 186,318 "," 20,822 ",11.18%,2016
XL Specialty Ins Co - 37885," 157,049 ",0.0166%," 243,530 "," 101,531 ",41.69%,2016
Berkley Regional Ins Co - 29580," 145,015 ",0.0153%," 76,061 "," 2,095 ",2.75%,2016
Harco Natl Ins Co - 26433," 144,630 ",0.0153%," 133,993 "," 30,265 ",22.59%,2016
Continental Ins Co - 35289," 143,490 ",0.0151%," 131,146 "," (5,211)",-3.97%,2016
Starnet Ins Co - 40045," 139,002 ",0.0147%," 135,069 ", 681 ,0.50%,2016
Horace Mann Prop & Cas Ins Co - 22756," 132,925 ",0.0140%," 142,757 "," 153,462 ",107.50%,2016
Church Mut Ins Co - 18767," 131,035 ",0.0138%," 125,432 "," (545,803)",-435.14%,2016
Peerless Ind Ins Co - 18333," 126,717 ",0.0134%," 141,430 "," 8,040 ",5.68%,2016
Pacific Prop & Cas Co - 11048," 126,008 ",0.0133%," 115,077 "," 30,042 ",26.11%,2016
New York Marine & Gen Ins Co - 16608," 121,354 ",0.0128%," 38,076 "," 4,760 ",12.50%,2016
General Ins Co Of Amer - 24732," 119,124 ",0.0126%," 246,292 "," (32,088)",-13.03%,2016
Wawanesa Gen Ins Co - 10683," 116,394 ",0.0123%," 112,742 "," 56,715 ",50.31%,2016
Crusader Ins Co - 14010," 115,156 ",0.0121%," 100,581 "," 37,972 ",37.75%,2016
First Amer Prop & Cas Ins Co - 37710," 111,321 ",0.0117%," 111,321 "," 71,141 ",63.91%,2016
Metropolitan Drt Prop & Cas Ins Co - 25321," 103,892 ",0.0110%," 97,019 "," 42,877 ",44.19%,2016
National Gen Premier Ins Co - 12832," 98,495 ",0.0104%," 468,008 "," 2,158 ",0.46%,2016
Standard Guar Ins Co - 42986," 94,876 ",0.0100%," 98,299 "," 33,486 ",34.07%,2016
American States Ins Co - 19704," 94,367 ",0.0100%," 250,508 "," (53,177)",-21.23%,2016
American Economy Ins Co - 19690," 94,221 ",0.0099%," 182,831 "," 13,857 ",7.58%,2016
Great Northern Ins Co - 20303," 92,511 ",0.0098%," 149,262 "," 16,623 ",11.14%,2016
Coastal Select Ins Co - 10887," 88,448 ",0.0093%," 90,088 "," 41,039 ",45.55%,2016
Allianz Underwriters Ins Co - 36420," 80,996 ",0.0085%," 71,776 ", -   ,0.00%,2016
First Natl Ins Co Of Amer - 24724," 77,916 ",0.0082%," 170,514 "," 15,627 ",9.16%,2016
Hanover Amer Ins Co - 36064," 76,699 ",0.0081%," 44,564 "," (26,042)",-58.44%,2016
American Zurich Ins Co - 40142," 75,019 ",0.0079%," 65,714 ", 99 ,0.15%,2016
Western Mut Ins Co - 13625," 71,720 ",0.0076%," 71,490 "," (173,097)",-242.13%,2016
New Hampshire Ins Co - 23841," 69,811 ",0.0074%," 63,367 "," 1,367 ",2.16%,2016
Vigilant Ins Co - 20397," 59,518 ",0.0063%," 63,598 "," 27,217 ",42.80%,2016
ASI Select Ins Corp - 14042," 57,258 ",0.0060%," 8,293 ", -   ,0.00%,2016
Transguard Ins Co Of Amer Inc - 28886," 57,204 ",0.0060%," 55,453 "," 18,596 ",33.53%,2016
Mitsui Sumitomo Ins USA Inc - 22551," 56,082 ",0.0059%," 53,753 "," 18,857 ",35.08%,2016
Nova Cas Co - 42552," 54,919 ",0.0058%," 66,886 "," 490,135 ",732.79%,2016
American Cas Co Of Reading PA - 20427," 51,182 ",0.0054%," 55,335 "," (2,623)",-4.74%,2016
Cincinnati Ins Co - 10677," 47,451 ",0.0050%," 58,956 "," (2,659)",-4.51%,2016
Great Amer Assur Co - 26344," 46,561 ",0.0049%," 60,883 "," (66,013)",-108.43%,2016
Scottsdale Ind Co - 15580," 45,169 ",0.0048%," 33,980 "," 6,678 ",19.65%,2016
Berkley Natl Ins Co - 38911," 44,738 ",0.0047%," 21,477 "," 8,437 ",39.28%,2016
Technology Ins Co Inc - 42376," 43,432 ",0.0046%," 29,924 ", 503 ,1.68%,2016
Zurich Amer Ins Co Of IL - 27855," 43,405 ",0.0046%," 43,052 "," 3,634 ",8.44%,2016
Federated Rural Electric Ins Exch - 11118," 40,572 ",0.0043%," 40,950 "," 1,948 ",4.76%,2016
Indemnity Ins Co Of North Amer - 43575," 37,485 ",0.0040%," 37,467 "," 3,656 ",9.76%,2016
Guideone Mut Ins Co - 15032," 36,413 ",0.0038%," 47,068 "," (2,388)",-5.07%,2016
Hudson Ins Co - 25054," 34,164 ",0.0036%," 35,130 "," 2,038 ",5.80%,2016
Starr Ind & Liab Co - 38318," 30,838 ",0.0033%," 28,464 "," 7,363 ",25.87%,2016
Electric Ins Co - 21261," 27,718 ",0.0029%," 27,404 ", -   ,0.00%,2016
Philadelphia Ind Ins Co - 18058," 27,430 ",0.0029%," 23,469 ", 35 ,0.15%,2016
Berkshire Hathaway Specialty Ins Co - 22276," 24,073 ",0.0025%," 27,957 "," 11,280 ",40.35%,2016
Golden Eagle Ins Corp - 10836," 22,816 ",0.0024%," 24,275 "," 5,661 ",23.32%,2016
Farmland Mut Ins Co - 13838," 19,340 ",0.0020%," 31,424 "," (8,225)",-26.17%,2016
Diamond State Ins Co - 42048," 19,295 ",0.0020%," 18,882 "," (3,812)",-20.19%,2016
Empire Fire & Marine Ins Co - 21326," 19,130 ",0.0020%," 23,786 ", (991),-4.17%,2016
Transportation Ins Co - 20494," 16,546 ",0.0017%," 34,680 "," 7,221 ",20.82%,2016
Penn Amer Ins Co - 32859," 16,175 ",0.0017%," 26,239 "," (4,887)",-18.62%,2016
Valley Forge Ins Co - 20508," 16,146 ",0.0017%," 8,814 "," 2,456 ",27.86%,2016
Public Serv Ins Co - 15059," 15,745 ",0.0017%," 16,069 "," 7,907 ",49.21%,2016
Sirius Amer Ins Co - 38776," 15,589 ",0.0016%," 2,801 "," 1,054 ",37.63%,2016
UFG Specialty Ins Co - 19526," 14,480 ",0.0015%, 578 , 14 ,2.42%,2016
Imperium Ins Co - 35408," 13,788 ",0.0015%," 14,065 ", -   ,0.00%,2016
North Amer Specialty Ins Co - 29874," 11,548 ",0.0012%," 7,544 ", (453),-6.00%,2016
National Fire Ins Co Of Hartford - 20478," 10,236 ",0.0011%," 8,691 "," (7,109)",-81.80%,2016
Freedom Specialty Ins Co - 22209," 9,720 ",0.0010%," 13,074 ", 764 ,5.84%,2016
Corepointe Ins Co - 10499," 9,340 ",0.0010%," 18,719 ", -   ,0.00%,2016
Crestbrook Ins Co - 18961," 9,032 ",0.0010%," 6,422 "," 1,477 ",23.00%,2016
Northland Ins Co - 24015," 8,056 ",0.0008%," 8,396 "," (2,416)",-28.78%,2016
Markel Ins Co - 38970," 8,046 ",0.0008%," 4,238 "," (8,840)",-208.59%,2016
American Fire & Cas Co - 24066," 8,014 ",0.0008%," 15,237 ", 198 ,1.30%,2016
Wausau Underwriters Ins Co - 26042," 7,574 ",0.0008%," 28,937 ", (475),-1.64%,2016
AXIS Reins Co - 20370," 7,181 ",0.0008%," 17,331 "," 14,944 ",86.23%,2016
Pacific Ind Co - 20346," 6,354 ",0.0007%," 6,355 "," 2,662 ",41.89%,2016
National Interstate Ins Co - 32620," 5,758 ",0.0006%," 10,625 ", -   ,0.00%,2016
Netherlands Ins Co The - 24171," 5,527 ",0.0006%," 5,422 ", 157 ,2.90%,2016
Amerisure Mut Ins Co - 23396," 5,403 ",0.0006%," 7,543 ", 453 ,6.01%,2016
Alaska Natl Ins Co - 38733," 4,813 ",0.0005%," 4,814 ", (609),-12.65%,2016
Capitol Ind Corp - 10472," 4,200 ",0.0004%," 3,161 ", (333),-10.53%,2016
Mid Century Ins Co - 21687," 4,026 ",0.0004%," 4,092 ", (36),-0.88%,2016
Samsung Fire & Marine Ins Co Ltd - 38300," 3,882 ",0.0004%," 2,844 ", 620 ,21.80%,2016
Star Ins Co - 18023," 3,063 ",0.0003%," 3,615 ", 75 ,2.07%,2016
Regent Ins Co - 24449," 2,611 ",0.0003%," 1,966 "," 1,100 ",55.95%,2016
Great Amer Alliance Ins Co - 26832," 2,400 ",0.0003%," 1,704 ", 109 ,6.40%,2016
Employers Ins  of Wausau - 21458," 2,374 ",0.0003%," 2,914 ", (680),-23.34%,2016
Praetorian Ins Co - 37257," 2,128 ",0.0002%," 3,309 "," 1,140,708 ",34472.89%,2016
The Cincinnati Ind Co - 23280," 2,095 ",0.0002%," 1,135 ", -   ,0.00%,2016
St Paul Mercury Ins Co - 24791," 2,081 ",0.0002%," 8,015 "," (39,999)",-499.05%,2016
Hyundai Marine & Fire Ins Co Ltd - 10048," 1,905 ",0.0002%," 1,169 ", -   ,0.00%,2016
Acceptance Ind Ins Co - 20010," 1,786 ",0.0002%," 3,959 ", 530 ,13.39%,2016
Middlesex Ins Co - 23434," 1,207 ",0.0001%," 1,912 ", 354 ,18.51%,2016
Utica Mut Ins Co - 25976, 561 ,0.0001%, 526 , 34 ,6.46%,2016
Geovera Specialty Ins Co - 10182, 468 ,0.0000%, 694 , 312 ,44.96%,2016
Vanliner Ins Co - 21172, 406 ,0.0000%, 196 , -   ,0.00%,2016
North River Ins Co - 21105, 164 ,0.0000%, 48 , 5 ,10.42%,2016
National Farmers Union Prop & Cas - 16217, 83 ,0.0000%, 83 , 56 ,67.47%,2016
Chubb Natl Ins Co - 10052, 81 ,0.0000%, 215 , (305),-141.86%,2016
National Cas Co - 11991, 64 ,0.0000%, 729 , (254),-34.84%,2016
Columbia Ins Co - 27812, 2 ,0.0000%," 9,862 "," 3,292 ",33.38%,2016
Fire Ins Exch - 21660,76247720,0.081295084,83182860,28753627,0.345667689,2015
Safeco Ins Co Of Amer - 24740,59765654,0.063721956,63309551,26197198,0.413795353,2015
American Security Ins Co - 42978,57027943,0.060803017,64203910,18535309,0.288694396,2015
CSAA Fire & Cas Ins Co - 10921,52632634,0.056116752,51280177,32186664,0.627662888,2015
Amco Ins Co - 19100,40175424,0.042834913,38611471,21752057,0.563357376,2015
Travelers Prop Cas Co Of Amer - 25674,39686997,0.042314154,39704457,50570701,1.273678192,2015
Zurich Amer Ins Co - 16535,35015211,0.03733311,35244388,52608476,1.492676678,2015
Affiliated Fm Ins Co - 10014,29926709,0.031907765,29694891,9137383,0.307708925,2015
Liberty Mut Fire Ins Co - 23035,26723711,0.028492738,30808020,13532999,0.439268703,2015
Foremost Ins Co Grand Rapids MI - 11185,25234796,0.026905262,24565459,20973679,0.853787385,2015
First Amer Specilaty Ins Co - 34525,24255768,0.025861425,23909285,10683293,0.446826118,2015
Factory Mut Ins Co - 21482,23457954,0.025010798,25432518,2575255,0.101258358,2015
Interins Exch Of The Automobile Club - 15598,20705350,0.02207598,20151540,9086684,0.450917597,2015
American Modern Home Ins Co - 23469,19950056,0.021270688,21166155,11515502,0.544052616,2015
American Home Assur Co - 19380,19343738,0.020624234,8159076,4798823,0.588157654,2015
Universal N Amer Ins Co - 10759,15475041,0.016499441,15013893,7090701,0.472275978,2015
Mercury Cas Co - 11908,14764480,0.015741843,14292955,6898514,0.482651348,2015
California Capital Ins Co - 13544,14667620,0.015638571,14324993,4068349,0.284003559,2015
Allianz Global Risks US Ins Co - 35300,14346367,0.015296052,14329976,10119829,0.706199996,2015
United Serv Automobile Assn - 25941,13374513,0.014259865,15930894,4225188,0.265219767,2015
XL Ins Amer Inc - 24554,12814131,0.013662387,14347524,-33559281,-2.339029438,2015
Farmers Ins Exch - 21652,12501526,0.013329089,13509117,4793855,0.354860721,2015
Allied Prop & Cas Ins Co - 42579,12207014,0.013015081,12172297,4369942,0.359007178,2015
Travelers Prop Cas Ins Co - 36161,11851231,0.012635746,11838834,6277326,0.530231778,2015
Insurance Co Of The State Of PA - 19429,10871236,0.011590878,10612884,3475193,0.32745039,2015
CSE Safeguard Ins Co - 18953,10102727,0.010771496,9439774,6010957,0.636769164,2015
American Guar & Liab Ins - 26247,9932112,0.010589587,9950609,5134359,0.515984399,2015
Westport Ins Corp - 39845,9856095,0.010508538,9115115,5919457,0.649411115,2015
State Farm Gen Ins Co - 25151,9231841,0.00984296,9181249,3913211,0.426217718,2015
Neighborhood Spirit Prop & Cas Co - 10317,8457859,0.009017743,8332061,2735383,0.328296084,2015
USAA Cas Ins Co - 25968,8398112,0.008954041,9054696,989657,0.109297651,2015
Axis Ins Co - 37273,6544719,0.006977959,8211486,259384,0.031587949,2015
Century Natl Ins Co - 26905,6525238,0.006957189,6713898,1363673,0.203111963,2015
Nationwide Mut Ins Co - 23787,6459662,0.006887272,6795314,15042884,2.213714333,2015
National Union Fire Ins Co Of Pitts - 19445,6363314,0.006784546,7961870,279159,0.035061989,2015
Fidelity & Deposit Co Of MD  - 39306,6229644,0.006642027,5420814,2350129,0.433538026,2015
Tokio Marine Amer Ins Co - 10945,6223052,0.006634999,6884106,-2977915,-0.432578319,2015
HDI Global Ins Co - 41343,6176535,0.006585403,6225776,431070,0.069239561,2015
Peerless Ins Co - 24198,6000879,0.006398119,7148335,7056979,0.987219961,2015
United States Liab Ins Co - 25895,5818173,0.006203318,5639860,3048070,0.540451359,2015
Westchester Fire Ins Co - 10030,5519568,0.005884946,5451077,5154604,0.945612032,2015
Continental Cas Co - 20443,5321125,0.005673367,5153717,3578175,0.69429016,2015
Encompass Ins Co - 10358,5185569,0.005528838,5178843,3002956,0.57985075,2015
Zenith Ins Co - 13269,4911263,0.005236373,4532235,1047382,0.231096137,2015
Civil Serv Employees Ins Co - 10693,4600430,0.004904964,4741973,1523407,0.321260159,2015
Liberty Mut Ins Co - 23043,4352946,0.004641098,4062849,1212265,0.298378059,2015
Kemper Independence Ins Co - 10914,4211643,0.004490441,4011597,1431413,0.356818743,2015
Hartford Fire In Co - 19682,4092710,0.004363635,4039295,442311,0.109502029,2015
Allied World Assur Co US Inc - 19489,4018071,0.004284055,3694023,1383405,0.37449821,2015
Verlan Fire Ins Co MD - 10815,3551107,0.003786179,3509474,3469986,0.988748171,2015
Nationwide Ins Co Of Amer - 25453,3320577,0.003540389,3134213,1113908,0.355402776,2015
Unigard Ins Co - 25747,3262233,0.003478183,3488912,4664,0.001336806,2015
Federated Mut Ins Co - 13935,3184786,0.003395609,3142615,1060293,0.337391949,2015
Stillwater Ins Co - 25180,3101117,0.003306401,2894838,1157474,0.399840682,2015
AXA Ins Co - 33022,3082404,0.00328645,3407560,3250164,0.953809764,2015
Sentry Ins A Mut Co - 24988,2770401,0.002953793,2783019,1248323,0.448549938,2015
United Fire & Cas Co - 13021,2531963,0.002699571,1979988,3905973,1.972725592,2015
Residence Mut Ins Co - 15776,2427487,0.002588179,2411966,748781,0.31044426,2015
Associated Ind Corp - 21865,2328914,0.002483081,3510829,1635373,0.465808218,2015
Standard Fire Ins Co - 19070,2312869,0.002465974,2265774,961224,0.424236486,2015
QBE Ins Corp - 39217,2160601,0.002303626,1785390,1565234,0.876690247,2015
Civic Prop & Cas Co  - 10315,2072865,0.002210082,2006102,475208,0.236881275,2015
Pennsylvania Lumbermens Mut Ins - 14974,2003390,0.002136008,998744,159275,0.159475301,2015
Firemans Fund Ins Co - 21873,1942008,0.002070563,2012989,2932263,1.456671149,2015
Sompo Japan Ins Co of Amer - 11126,1828280,0.001949307,2402455,2329375,0.969581116,2015
Nationwide Agribusiness Ins Co - 28223,1826344,0.001947242,1703694,1530401,0.898283964,2015
Exact Prop & Cas Co Inc - 10318,1803459,0.001922842,1790582,267219,0.149235835,2015
Ohio Security Ins Co - 24082,1682513,0.00179389,1294853,541433,0.418142446,2015
Hartford Underwriters Ins Co - 30104,1639689,0.001748231,1640207,635858,0.387669361,2015
Great Amer Ins Co of NY - 22136,1574997,0.001679257,1768693,219213,0.123940673,2015
Golden Bear Ins Co - 39861,1536450,0.001638158,1329670,400365,0.301101025,2015
RSUI Ind Co - 22314,1529489,0.001630736,1673301,23433,0.014004055,2015
Travelers Cas & Surety Co - 19038,1494950,0.001593911,1458777,632879,0.433842184,2015
Garrison Prop & Cas Ins Co - 21253,1474737,0.00157236,1504431,129287,0.085937474,2015
USAA Gen Ind Co - 18600,1435563,0.001530593,1333499,461030,0.345729543,2015
American Reliable Ins Co - 19615,1417890,0.00151175,1312646,2673731,2.0369018,2015
Aspen Amer Ins Co - 43460,1410005,0.001503343,1057335,972675,0.919930769,2015
CSAA Ins Exch - 15539,1390252,0.001482282,1420748,441563,0.310796144,2015
Sentry Select Ins Co - 21180,1323674,0.001411297,1284714,-95387,-0.074247654,2015
Dorinco Reins Co - 33499,1319065,0.001406383,1377796,0,0,2015
Oregon Mut Ins Co - 14907,1296413,0.001382232,1306687,349520,0.267485634,2015
Federal Ins Co - 20281,1225776,0.001306919,1201893,290208,0.241459098,2015
Riverport Ins Co - 36684,1214283,0.001294665,1223521,73360,0.059958105,2015
Wesco Ins Co - 25011,1205363,0.001285154,1064875,228587,0.214660876,2015
Employers Mut Cas Co - 21415,1150409,0.001226563,1095482,3972200,3.625983814,2015
West Amer Ins Co - 44393,1139994,0.001215458,1000525,2646,0.002644612,2015
Integon Natl Ins Co - 29742,1112884,0.001186553,764805,292728,0.382748544,2015
United States Fire Ins Co - 21113,1112228,0.001185854,596324,133173,0.223323227,2015
Financial Pacific Ins Co - 31453,1075102,0.00114627,1382469,1064355,0.769894298,2015
St Paul Fire & Marine Ins Co - 24767,1013326,0.001080405,1081342,522380,0.483084907,2015
Travelers Ind Co Of CT - 25682,986956,0.001052289,892062,965069,1.081840724,2015
Pacific Employers Ins Co - 22748,933518,0.000995314,816235,226401,0.277372325,2015
Universal Underwriters Ins Co - 41181,882510,0.000940929,929449,2222008,2.390672323,2015
Personal Express Ins Co - 12832,871825,0.000929537,901068,73707,0.081799598,2015
Security Natl Ins Co - 19879,843798,0.000899655,836093,366666,0.438546908,2015
Amica Mut Ins Co - 19976,831885,0.000886953,796638,158586,0.199069088,2015
Eagle W Ins Co - 12890,754737,0.000804698,727586,311500,0.428128084,2015
Greenwich Ins Co - 22322,734853,0.000783498,745692,582755,0.781495577,2015
Federated Serv Ins Co - 28304,731582,0.00078001,702493,-55853,-0.079506842,2015
Topa Ins Co - 18031,720459,0.000768151,607411,80899,0.13318659,2015
Grange Ins Assn - 22101,715518,0.000762883,732634,1448149,1.976633626,2015
Atlantic Specialty Ins Co - 27154,711779,0.000758897,559423,-1587267,-2.837328819,2015
Seneca Ins Co Inc - 10936,687444,0.000732951,618469,-17760,-0.028716071,2015
Horace Mann Ins Co - 22578,685742,0.000731136,688359,969153,1.407917961,2015
Granite State Ins Co - 23809,683006,0.000728219,624219,169386,0.271356687,2015
Truck Ins Exch - 21709,642668,0.000685211,617210,239521,0.388070511,2015
United Cas Ins Co Of Amer - 11142,622312,0.000663507,623052,63033,0.101168121,2015
Ohio Cas Ins Co - 24074,593102,0.000632364,528370,43549,0.082421409,2015
Geovera Ins Co - 10799,574391,0.000612414,567055,240690,0.424456181,2015
Insurance Co of N Amer - 22713,511994,0.000545886,481340,138345,0.287416379,2015
Merced Prop & Cas Co - 15768,436088,0.000464956,436374,593265,1.359533336,2015
American States Ins Co - 19704,364175,0.000388282,427617,-11335,-0.026507365,2015
Mapfre Ins Co - 23876,342569,0.000365246,297640,90112,0.302755006,2015
Armed Forces Ins Exch - 41459,335888,0.000358123,339245,75186,0.221627437,2015
XL Specialty Ins Co - 37885,334649,0.000356802,257730,224979,0.872925154,2015
General Ins Co Of Amer - 24732,317953,0.000339001,373869,-14926,-0.039923075,2015
Guideone Specialty Mut Ins Co - 14559,306480,0.000326768,286441,8608,0.030051564,2015
Citizens Ins Co Of Amer - 31534,282652,0.000301363,181349,20289,0.111878202,2015
Massachusetts Bay Ins Co - 22306,276409,0.000294706,183246,64764,0.353426541,2015
First Natl Ins Co Of Amer - 24724,276133,0.000294412,319332,-7503,-0.023495923,2015
Nationwide Mut Fire Ins Co - 23779,270788,0.000288713,278974,151962,0.544717429,2015
Hanover Ins Co - 22292,246912,0.000263257,281502,31751,0.112791383,2015
Ace Amer Ins Co - 22667,233649,0.000249116,191422,-10599,-0.055369811,2015
American Economy Ins Co - 19690,222508,0.000237237,246542,7221,0.029289127,2015
Hartford Cas Ins Co - 29424,215144,0.000229386,218876,13936,0.063670754,2015
Mitsui Sumitomo Ins Co of Amer - 20362,210757,0.000224708,211276,33427,0.158214847,2015
Sutter Ins Co - 32107,210012,0.000223914,216702,1682,0.007761811,2015
California Cas Ind Exch - 20117,194878,0.000207778,189733,82370,0.434136392,2015
Sequoia Ins Co - 22985,192685,0.00020544,201190,72001,0.35787564,2015
Markel Amer Ins Co - 28932,188740,0.000201234,188740,22307,0.118189043,2015
Peerless Ind Ins Co - 18333,181564,0.000193583,174545,-22343,-0.128007104,2015
California Mut Ins Co - 27480,176443,0.000188123,173562,4642,0.026745486,2015
Great Northern Ins Co - 20303,161033,0.000171693,199310,111,0.000556921,2015
Horace Mann Prop & Cas Ins Co - 22756,154441,0.000164665,152053,173865,1.143449981,2015
Kookmin Best Ins Co Ltd - 37800,146212,0.000155891,143534,60867,0.424059805,2015
Continental Ins Co - 35289,132716,0.000141501,147860,-170473,-1.152935209,2015
Church Mut Ins Co - 18767,120260,0.000128221,114330,771936,6.751823668,2015
Starnet Ins Co - 40045,118153,0.000125974,114745,3085,0.026885703,2015
Pacific Prop & Cas Co - 11048,116194,0.000123886,127502,26127,0.204914433,2015
First Amer Prop & Cas Ins Co - 37710,111169,0.000118528,111169,140386,1.262816073,2015
Wawanesa Gen Ins Co - 10683,110636,0.00011796,107655,51635,0.479634016,2015
Nova Cas Co - 42552,108076,0.00011523,106592,35356,0.331694686,2015
Harco Natl Ins Co - 26433,103096,0.000109921,101396,1932,0.019054006,2015
Standard Guar Ins Co - 42986,95343,0.000101654,103847,-1403,-0.01351026,2015
Crusader Ins Co - 14010,93921,0.000100138,89812,33117,0.368736917,2015
Metropolitan Drt Prop & Cas Ins Co - 25321,92373,9.84878E-05,81676,31802,0.389367746,2015
Coastal Select Ins Co - 10887,91721,9.77926E-05,92927,39822,0.428529921,2015
Great Amer Ins Co - 16691,90473,9.6462E-05,87935,179333,2.039381361,2015
Hanover Amer Ins Co - 36064,82438,8.78951E-05,64590,-6584,-0.101935284,2015
Cincinnati Ins Co - 10677,81605,8.7007E-05,92647,5388,0.058156227,2015
Great Amer Assur Co - 26344,79461,8.47211E-05,69300,-35030,-0.505483405,2015
American Zurich Ins Co - 40142,76372,8.14276E-05,69826,1673,0.023959557,2015
Western Mut Ins Co - 13625,72117,7.68909E-05,73164,6927,0.09467771,2015
Allianz Underwriters Ins Co - 36420,68457,7.29886E-05,48490,0,0,2015
Vigilant Ins Co - 20397,67887,7.23809E-05,70043,16785,0.239638508,2015
New Hampshire Ins Co - 23841,56941,6.07103E-05,54254,4323,0.079680761,2015
American Cas Co Of Reading PA - 20427,54673,5.82922E-05,77503,-28832,-0.372011406,2015
Guideone Mut Ins Co - 15032,54161,5.77463E-05,40417,1441,0.035653314,2015
Transguard Ins Co Of Amer Inc - 28886,52499,5.59743E-05,52417,-38745,-0.73916859,2015
Mitsui Sumitomo Ins USA Inc - 22551,50987,5.43622E-05,42209,14361,0.340235495,2015
Zurich Amer Ins Co Of IL - 27855,47258,5.03863E-05,46717,-65466,-1.401331421,2015
