Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2017,Annual,Napa MSA,Not Adj,Not Prelim,73300,70700,2700,0.036
2016,Annual,Napa MSA,Not Adj,Not Prelim,72900,69800,3100,0.043
2015,Annual,Napa MSA,Not Adj,Not Prelim,73700,70300,3400,0.046
2014,Annual,Napa MSA,Not Adj,Not Prelim,73400,69300,4200,0.057
2013,Annual,Napa MSA,Not Adj,Not Prelim,72800,67800,5000,0.069
2012,Annual,Napa MSA,Not Adj,Not Prelim,71800,65800,6100,0.084
2011,Annual,Napa MSA,Not Adj,Not Prelim,70800,63800,6900,0.098
2010,Annual,Napa MSA,Not Adj,Not Prelim,70200,63000,7200,0.103
2009,Annual,Napa MSA,Not Adj,Not Prelim,75600,69200,6300,0.084
2008,Annual,Napa MSA,Not Adj,Not Prelim,75500,71700,3900,0.051
2007,Annual,Napa MSA,Not Adj,Not Prelim,73200,70300,2900,0.040
2006,Annual,Napa MSA,Not Adj,Not Prelim,71700,68900,2800,0.039
2005,Annual,Napa MSA,Not Adj,Not Prelim,71300,68200,3100,0.044
2004,Annual,Napa MSA,Not Adj,Not Prelim,71200,67800,3400,0.047
2003,Annual,Napa MSA,Not Adj,Not Prelim,70700,67300,3400,0.048
2002,Annual,Napa MSA,Not Adj,Not Prelim,71100,67900,3200,0.045
2001,Annual,Napa MSA,Not Adj,Not Prelim,70400,67800,2600,0.036
2000,Annual,Napa MSA,Not Adj,Not Prelim,66700,64300,2400,0.036
1999,Annual,Napa MSA,Not Adj,Not Prelim,62200,60100,2100,0.033
1998,Annual,Napa MSA,Not Adj,Not Prelim,60500,58000,2400,0.040
1997,Annual,Napa MSA,Not Adj,Not Prelim,59200,56100,3000,0.051
1996,Annual,Napa MSA,Not Adj,Not Prelim,58100,54500,3500,0.060
1995,Annual,Napa MSA,Not Adj,Not Prelim,57200,53700,3500,0.062
1994,Annual,Napa MSA,Not Adj,Not Prelim,57800,53800,4000,0.069
1993,Annual,Napa MSA,Not Adj,Not Prelim,58000,53500,4600,0.079
1992,Annual,Napa MSA,Not Adj,Not Prelim,57500,53400,4100,0.072
1991,Annual,Napa MSA,Not Adj,Not Prelim,55200,52000,3200,0.058
1990,Annual,Napa MSA,Not Adj,Not Prelim,56400,54100,2300,0.041
2019,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Prelim,1406100,1364200,41900,0.030
2018,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1403300,1359400,43900,0.031
2017,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1397800,1345500,52300,0.037
2016,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1384900,1324400,60400,0.044
2015,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1363500,1297300,66200,0.049
2014,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1347700,1267500,80300,0.060
2013,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1340800,1242400,98400,0.073
2012,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1334200,1216900,117300,0.088
2011,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1316300,1182400,133900,0.102
2010,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1308100,1165000,143000,0.109
2009,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1285700,1155400,130300,0.101
2008,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1280100,1200600,79600,0.062
2007,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1259500,1200400,59200,0.047
2006,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1244300,1189900,54400,0.044
2005,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1244100,1182000,62100,0.050
2004,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1249400,1178500,70900,0.057
2003,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1262800,1180600,82200,0.065
2002,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1282400,1202100,80300,0.063
2001,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1286000,1228300,57700,0.045
2000,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1271000,1225400,45600,0.036
1999,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1200300,1160500,39700,0.033
1998,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1179800,1133400,46400,0.039
1997,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1162400,1111800,50600,0.044
1996,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1136200,1079100,57100,0.050
1995,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1128400,1063900,64500,0.057
1994,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1131700,1062100,69500,0.061
1993,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1120600,1046300,74300,0.066
1992,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1119600,1046400,73200,0.065
1991,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1106400,1046400,59900,0.054
1990,Annual,Oakland-Hayward-Berkeley MD,Not Adj,Not Prelim,1112600,1067700,44900,0.040
2019,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Prelim,423400,408200,15200,0.036
2018,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,423600,407300,16300,0.038
2017,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,424200,405100,19100,0.045
2016,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,425300,403100,22200,0.052
2015,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,427200,403100,24100,0.056
2014,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,430100,401500,28600,0.066
2013,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,433900,399800,34100,0.079
2012,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,434700,395200,39500,0.091
2011,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,431700,387500,44200,0.102
2010,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,430000,383400,46600,0.108
2009,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,430300,388800,41500,0.096
2008,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,428800,401800,27000,0.063
2007,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,423100,402400,20700,0.049
2006,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,419600,401500,18100,0.043
2005,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,416000,396200,19700,0.047
2004,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,412300,390300,22000,0.053
2003,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,409700,386200,23500,0.057
2002,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,406100,382800,23300,0.057
2001,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,399000,379600,19300,0.048
2000,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,393000,375200,17800,0.045
1999,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,394300,375300,19000,0.048
1998,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,385700,364300,21500,0.056
1997,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,378600,353500,25100,0.066
1996,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,376600,349400,27200,0.072
1995,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,378800,350700,28100,0.074
1994,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,380200,350200,30000,0.079
1993,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,375500,341700,33800,0.090
1992,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,373100,339800,33300,0.089
1991,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,366500,338900,27500,0.075
1990,Annual,Oxnard-Thousand Oaks-Ventura MSA,Not Adj,Not Prelim,366600,345400,21100,0.058
2019,Annual,Redding MSA,Not Adj,Prelim,74400,70900,3500,0.047
2018,Annual,Redding MSA,Not Adj,Not Prelim,74000,70300,3700,0.050
2017,Annual,Redding MSA,Not Adj,Not Prelim,74000,69700,4300,0.058
2016,Annual,Redding MSA,Not Adj,Not Prelim,74200,69000,5200,0.070
2015,Annual,Redding MSA,Not Adj,Not Prelim,74100,68300,5800,0.078
2014,Annual,Redding MSA,Not Adj,Not Prelim,74900,67700,7200,0.096
2013,Annual,Redding MSA,Not Adj,Not Prelim,75300,66400,8900,0.118
2012,Annual,Redding MSA,Not Adj,Not Prelim,76000,65200,10800,0.142
2011,Annual,Redding MSA,Not Adj,Not Prelim,77000,64800,12300,0.159
2010,Annual,Redding MSA,Not Adj,Not Prelim,78500,65300,13200,0.168
2009,Annual,Redding MSA,Not Adj,Not Prelim,84000,71900,12000,0.143
2008,Annual,Redding MSA,Not Adj,Not Prelim,82600,74300,8300,0.101
2007,Annual,Redding MSA,Not Adj,Not Prelim,82500,76400,6200,0.075
2006,Annual,Redding MSA,Not Adj,Not Prelim,82400,77000,5400,0.066
2005,Annual,Redding MSA,Not Adj,Not Prelim,81700,75800,5900,0.072
2004,Annual,Redding MSA,Not Adj,Not Prelim,82400,76200,6300,0.076
2003,Annual,Redding MSA,Not Adj,Not Prelim,82400,76200,6200,0.075
2002,Annual,Redding MSA,Not Adj,Not Prelim,81300,75500,5800,0.071
2001,Annual,Redding MSA,Not Adj,Not Prelim,77600,72700,4900,0.063
2000,Annual,Redding MSA,Not Adj,Not Prelim,74900,70400,4600,0.061
1999,Annual,Redding MSA,Not Adj,Not Prelim,72100,67000,5100,0.071
1998,Annual,Redding MSA,Not Adj,Not Prelim,72100,65600,6500,0.091
1997,Annual,Redding MSA,Not Adj,Not Prelim,72600,65900,6700,0.092
1996,Annual,Redding MSA,Not Adj,Not Prelim,71900,64700,7200,0.100
1995,Annual,Redding MSA,Not Adj,Not Prelim,72000,63900,8100,0.113
1994,Annual,Redding MSA,Not Adj,Not Prelim,72500,63800,8700,0.121
1993,Annual,Redding MSA,Not Adj,Not Prelim,73200,64000,9200,0.126
1992,Annual,Redding MSA,Not Adj,Not Prelim,72900,63400,9500,0.130
1991,Annual,Redding MSA,Not Adj,Not Prelim,68200,60800,7400,0.109
1990,Annual,Redding MSA,Not Adj,Not Prelim,67700,61800,5800,0.086
2019,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Prelim,2071800,1988600,83200,0.040
2018,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,2047500,1959400,88100,0.043
2017,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,2015300,1912500,102800,0.051
2016,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1981500,1863600,118000,0.060
2015,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1952500,1824100,128400,0.066
2014,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1916500,1761200,155300,0.081
2013,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1893100,1706800,186300,0.098
2012,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1879300,1662700,216600,0.115
2011,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1867000,1623800,243200,0.130
2010,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1866700,1611200,255500,0.137
2009,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1773500,1545000,228500,0.129
2008,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1773600,1626100,147500,0.083
2007,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1764200,1661500,102800,0.058
2006,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1741300,1655500,85800,0.049
2005,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1704000,1614000,90000,0.053
2004,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1646900,1550500,96400,0.059
2003,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1578200,1478000,100200,0.063
2002,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1533100,1438100,95000,0.062
2001,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1473000,1395300,77700,0.053
2000,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1421300,1349100,72100,0.051
1999,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1439200,1365100,74200,0.052
1998,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1379600,1294900,84600,0.061
1997,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1342200,1248700,93500,0.070
1996,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1298100,1196600,101400,0.078
1995,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1281500,1171100,110300,0.086
1994,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1267500,1146500,121000,0.095
1993,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1258500,1121400,137100,0.109
1992,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1244900,1113000,132000,0.106
1991,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1194100,1085900,108200,0.091
1990,Annual,Riverside-San Bernardino-Ontario MSA,Not Adj,Not Prelim,1171800,1097500,74200,0.063
2019,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Prelim,1101000,1061400,39600,0.036
2018,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1089600,1048200,41400,0.038
2017,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1075300,1026400,48900,0.045
2016,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1068300,1012000,56400,0.053
2015,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1052800,991200,61700,0.059
2014,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1044700,970300,74400,0.071
2013,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1046500,955800,90700,0.087
2012,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1047900,939900,108000,0.103
2011,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1045200,921600,123600,0.118
2010,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1049800,920100,129700,0.124
2009,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1051200,937100,114200,0.109
2008,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1045300,971000,74200,0.071
2007,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1036200,981000,55200,0.053
2006,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1022800,974900,47900,0.047
2005,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,1012000,962600,49400,0.049
2004,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,998300,943700,54700,0.055
2003,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,983700,927200,56400,0.057
2002,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,965000,911900,53100,0.055
2001,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,935300,893400,41900,0.045
2000,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,910000,871000,39000,0.043
1999,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,871400,835800,35600,0.041
1998,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,841800,800300,41500,0.049
1997,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,821700,776700,45000,0.055
1996,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,806000,756700,49300,0.061
1995,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,794800,741400,53400,0.067
1994,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,788200,732300,55900,0.071
1993,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,773400,709400,64000,0.083
1992,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,771700,707800,63900,0.083
1991,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,761000,709900,51100,0.067
1990,Annual,Sacramento--Roseville--Arden-Arcade MSA,Not Adj,Not Prelim,749700,714000,35700,0.048
2019,Annual,Salinas MSA,Not Adj,Prelim,222500,208700,13800,0.062
2018,Annual,Salinas MSA,Not Adj,Not Prelim,222200,207900,14200,0.064
2017,Annual,Salinas MSA,Not Adj,Not Prelim,219700,204000,15700,0.072
2016,Annual,Salinas MSA,Not Adj,Not Prelim,218700,202000,16800,0.077
2015,Annual,Salinas MSA,Not Adj,Not Prelim,218200,200500,17700,0.081
2014,Annual,Salinas MSA,Not Adj,Not Prelim,217700,198000,19700,0.090
2013,Annual,Salinas MSA,Not Adj,Not Prelim,216400,194100,22300,0.103
2012,Annual,Salinas MSA,Not Adj,Not Prelim,217800,192600,25200,0.116
2011,Annual,Salinas MSA,Not Adj,Not Prelim,216600,189100,27400,0.127
2010,Annual,Salinas MSA,Not Adj,Not Prelim,215800,188300,27400,0.127
2009,Annual,Salinas MSA,Not Adj,Not Prelim,215400,190600,24800,0.115
2008,Annual,Salinas MSA,Not Adj,Not Prelim,212100,194100,17900,0.085
2007,Annual,Salinas MSA,Not Adj,Not Prelim,205500,190800,14700,0.071
2006,Annual,Salinas MSA,Not Adj,Not Prelim,203100,189000,14000,0.069
2005,Annual,Salinas MSA,Not Adj,Not Prelim,206600,191500,15000,0.073
2004,Annual,Salinas MSA,Not Adj,Not Prelim,207200,190100,17100,0.083
2003,Annual,Salinas MSA,Not Adj,Not Prelim,208700,190100,18600,0.089
2002,Annual,Salinas MSA,Not Adj,Not Prelim,207800,189300,18400,0.089
2001,Annual,Salinas MSA,Not Adj,Not Prelim,204600,188700,16000,0.078
2000,Annual,Salinas MSA,Not Adj,Not Prelim,203400,188400,15000,0.074
1999,Annual,Salinas MSA,Not Adj,Not Prelim,187400,169300,18100,0.096
1998,Annual,Salinas MSA,Not Adj,Not Prelim,184100,164300,19800,0.108
1997,Annual,Salinas MSA,Not Adj,Not Prelim,181800,161900,19900,0.109
1996,Annual,Salinas MSA,Not Adj,Not Prelim,177800,157700,20000,0.113
1995,Annual,Salinas MSA,Not Adj,Not Prelim,174400,152900,21500,0.123
1994,Annual,Salinas MSA,Not Adj,Not Prelim,174800,153300,21600,0.123
1993,Annual,Salinas MSA,Not Adj,Not Prelim,176800,153800,23000,0.130
1992,Annual,Salinas MSA,Not Adj,Not Prelim,177100,155200,21900,0.123
1991,Annual,Salinas MSA,Not Adj,Not Prelim,171300,151900,19400,0.113
1990,Annual,Salinas MSA,Not Adj,Not Prelim,172700,156000,16700,0.097
2019,Annual,San Diego-Carlsbad MSA,Not Adj,Prelim,1590600,1539900,50700,0.032
2018,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1581500,1528100,53500,0.034
2017,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1572800,1509600,63200,0.040
2016,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1563000,1489100,73900,0.047
2015,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1548600,1468100,80500,0.052
2014,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1540700,1441700,99000,0.064
2013,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1543200,1422400,120800,0.078
2012,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1540400,1399900,140600,0.091
2011,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1524600,1367200,157300,0.103
2010,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1515200,1352300,162900,0.108
2009,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1554300,1408300,146000,0.094
2008,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1545800,1452600,93200,0.060
2007,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1515400,1446300,69000,0.046
2006,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1496100,1436800,59300,0.040
2005,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1489800,1425700,64100,0.043
2004,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1478500,1408900,69600,0.047
2003,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1457500,1382300,75300,0.052
2002,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1442900,1369200,73600,0.051
2001,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1408400,1349500,58900,0.042
2000,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1377100,1323200,53900,0.039
1999,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1350700,1308700,42000,0.031
1998,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1312200,1266000,46300,0.035
1997,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1275100,1220500,54500,0.043
1996,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1236900,1170800,66100,0.053
1995,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1223400,1145900,77500,0.063
1994,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1226500,1139900,86600,0.071
1993,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1218900,1123900,95000,0.078
1992,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1214000,1126300,87600,0.072
1991,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1207000,1131600,75400,0.062
1990,Annual,San Diego-Carlsbad MSA,Not Adj,Not Prelim,1215100,1158900,56200,0.046
2019,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Prelim,1043200,1021100,22200,0.021
2018,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,1018800,994900,23900,0.023
2017,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,1009300,980700,28600,0.028
2016,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,997000,965300,31800,0.032
2015,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,975700,941100,34600,0.035
2014,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,955500,914400,41100,0.043
2013,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,934400,884200,50200,0.054
2012,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,921500,860600,60900,0.066
2011,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,894600,824700,69900,0.078
2010,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,879000,802900,76200,0.087
2009,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,833600,763000,70600,0.085
2008,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,829300,787100,42200,0.051
2007,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,802100,769600,32500,0.040
2006,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,779800,748900,30800,0.040
2005,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,773600,737800,35900,0.046
2004,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,780000,738400,41600,0.053
2003,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,796200,746200,49900,0.063
2002,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,825900,773800,52100,0.063
2001,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,861500,822700,38800,0.045
2000,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,871600,844000,27600,0.032
1999,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,812600,792000,20600,0.025
1998,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,805800,780900,24800,0.031
1997,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,792600,765400,27100,0.034
1996,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,772700,740800,31900,0.041
1995,Annual,San Francisco-Redwood City-South San Francisco MD,Not Adj,Not Prelim,761500,722300,39200,0.052
