company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
North River Ins Co - 21105,164,0.00%,48,5,10.42%,2016
National Farmers Union Prop & Cas - 16217,83,0.00%,83,56,67.47%,2016
Chubb Natl Ins Co - 10052,81,0.00%,215,-305,-141.86%,2016
National Cas Co - 11991,64,0.00%,729,-254,-34.84%,2016
Columbia Ins Co - 27812,2,0.00%,"9,862","3,292",33.38%,2016
Fire Ins Exch - 21660,76247720,0.081295084,83182860,28753627,0.345667689,2015
Safeco Ins Co Of Amer - 24740,59765654,0.063721956,63309551,26197198,0.413795353,2015
American Security Ins Co - 42978,57027943,0.060803017,64203910,18535309,0.288694396,2015
CSAA Fire & Cas Ins Co - 10921,52632634,0.056116752,51280177,32186664,0.627662888,2015
Amco Ins Co - 19100,40175424,0.042834913,38611471,21752057,0.563357376,2015
Travelers Prop Cas Co Of Amer - 25674,39686997,0.042314154,39704457,50570701,1.273678192,2015
Zurich Amer Ins Co - 16535,35015211,0.03733311,35244388,52608476,1.492676678,2015
Affiliated Fm Ins Co - 10014,29926709,0.031907765,29694891,9137383,0.307708925,2015
Liberty Mut Fire Ins Co - 23035,26723711,0.028492738,30808020,13532999,0.439268703,2015
Foremost Ins Co Grand Rapids MI - 11185,25234796,0.026905262,24565459,20973679,0.853787385,2015
First Amer Specilaty Ins Co - 34525,24255768,0.025861425,23909285,10683293,0.446826118,2015
Factory Mut Ins Co - 21482,23457954,0.025010798,25432518,2575255,0.101258358,2015
Interins Exch Of The Automobile Club - 15598,20705350,0.02207598,20151540,9086684,0.450917597,2015
American Modern Home Ins Co - 23469,19950056,0.021270688,21166155,11515502,0.544052616,2015
American Home Assur Co - 19380,19343738,0.020624234,8159076,4798823,0.588157654,2015
Universal N Amer Ins Co - 10759,15475041,0.016499441,15013893,7090701,0.472275978,2015
Mercury Cas Co - 11908,14764480,0.015741843,14292955,6898514,0.482651348,2015
California Capital Ins Co - 13544,14667620,0.015638571,14324993,4068349,0.284003559,2015
Allianz Global Risks US Ins Co - 35300,14346367,0.015296052,14329976,10119829,0.706199996,2015
United Serv Automobile Assn - 25941,13374513,0.014259865,15930894,4225188,0.265219767,2015
XL Ins Amer Inc - 24554,12814131,0.013662387,14347524,-33559281,-2.339029438,2015
Farmers Ins Exch - 21652,12501526,0.013329089,13509117,4793855,0.354860721,2015
Allied Prop & Cas Ins Co - 42579,12207014,0.013015081,12172297,4369942,0.359007178,2015
Travelers Prop Cas Ins Co - 36161,11851231,0.012635746,11838834,6277326,0.530231778,2015
Insurance Co Of The State Of PA - 19429,10871236,0.011590878,10612884,3475193,0.32745039,2015
CSE Safeguard Ins Co - 18953,10102727,0.010771496,9439774,6010957,0.636769164,2015
American Guar & Liab Ins - 26247,9932112,0.010589587,9950609,5134359,0.515984399,2015
Westport Ins Corp - 39845,9856095,0.010508538,9115115,5919457,0.649411115,2015
State Farm Gen Ins Co - 25151,9231841,0.00984296,9181249,3913211,0.426217718,2015
Neighborhood Spirit Prop & Cas Co - 10317,8457859,0.009017743,8332061,2735383,0.328296084,2015
USAA Cas Ins Co - 25968,8398112,0.008954041,9054696,989657,0.109297651,2015
Axis Ins Co - 37273,6544719,0.006977959,8211486,259384,0.031587949,2015
Century Natl Ins Co - 26905,6525238,0.006957189,6713898,1363673,0.203111963,2015
Nationwide Mut Ins Co - 23787,6459662,0.006887272,6795314,15042884,2.213714333,2015
National Union Fire Ins Co Of Pitts - 19445,6363314,0.006784546,7961870,279159,0.035061989,2015
Fidelity & Deposit Co Of MD  - 39306,6229644,0.006642027,5420814,2350129,0.433538026,2015
Tokio Marine Amer Ins Co - 10945,6223052,0.006634999,6884106,-2977915,-0.432578319,2015
HDI Global Ins Co - 41343,6176535,0.006585403,6225776,431070,0.069239561,2015
Peerless Ins Co - 24198,6000879,0.006398119,7148335,7056979,0.987219961,2015
United States Liab Ins Co - 25895,5818173,0.006203318,5639860,3048070,0.540451359,2015
Westchester Fire Ins Co - 10030,5519568,0.005884946,5451077,5154604,0.945612032,2015
Continental Cas Co - 20443,5321125,0.005673367,5153717,3578175,0.69429016,2015
Encompass Ins Co - 10358,5185569,0.005528838,5178843,3002956,0.57985075,2015
Zenith Ins Co - 13269,4911263,0.005236373,4532235,1047382,0.231096137,2015
Civil Serv Employees Ins Co - 10693,4600430,0.004904964,4741973,1523407,0.321260159,2015
Liberty Mut Ins Co - 23043,4352946,0.004641098,4062849,1212265,0.298378059,2015
Kemper Independence Ins Co - 10914,4211643,0.004490441,4011597,1431413,0.356818743,2015
Hartford Fire In Co - 19682,4092710,0.004363635,4039295,442311,0.109502029,2015
Allied World Assur Co US Inc - 19489,4018071,0.004284055,3694023,1383405,0.37449821,2015
Verlan Fire Ins Co MD - 10815,3551107,0.003786179,3509474,3469986,0.988748171,2015
Nationwide Ins Co Of Amer - 25453,3320577,0.003540389,3134213,1113908,0.355402776,2015
Unigard Ins Co - 25747,3262233,0.003478183,3488912,4664,0.001336806,2015
Federated Mut Ins Co - 13935,3184786,0.003395609,3142615,1060293,0.337391949,2015
Stillwater Ins Co - 25180,3101117,0.003306401,2894838,1157474,0.399840682,2015
AXA Ins Co - 33022,3082404,0.00328645,3407560,3250164,0.953809764,2015
Sentry Ins A Mut Co - 24988,2770401,0.002953793,2783019,1248323,0.448549938,2015
United Fire & Cas Co - 13021,2531963,0.002699571,1979988,3905973,1.972725592,2015
Residence Mut Ins Co - 15776,2427487,0.002588179,2411966,748781,0.31044426,2015
Associated Ind Corp - 21865,2328914,0.002483081,3510829,1635373,0.465808218,2015
Standard Fire Ins Co - 19070,2312869,0.002465974,2265774,961224,0.424236486,2015
QBE Ins Corp - 39217,2160601,0.002303626,1785390,1565234,0.876690247,2015
Civic Prop & Cas Co  - 10315,2072865,0.002210082,2006102,475208,0.236881275,2015
Pennsylvania Lumbermens Mut Ins - 14974,2003390,0.002136008,998744,159275,0.159475301,2015
Firemans Fund Ins Co - 21873,1942008,0.002070563,2012989,2932263,1.456671149,2015
Sompo Japan Ins Co of Amer - 11126,1828280,0.001949307,2402455,2329375,0.969581116,2015
Nationwide Agribusiness Ins Co - 28223,1826344,0.001947242,1703694,1530401,0.898283964,2015
Exact Prop & Cas Co Inc - 10318,1803459,0.001922842,1790582,267219,0.149235835,2015
Ohio Security Ins Co - 24082,1682513,0.00179389,1294853,541433,0.418142446,2015
Hartford Underwriters Ins Co - 30104,1639689,0.001748231,1640207,635858,0.387669361,2015
Great Amer Ins Co of NY - 22136,1574997,0.001679257,1768693,219213,0.123940673,2015
Golden Bear Ins Co - 39861,1536450,0.001638158,1329670,400365,0.301101025,2015
RSUI Ind Co - 22314,1529489,0.001630736,1673301,23433,0.014004055,2015
Travelers Cas & Surety Co - 19038,1494950,0.001593911,1458777,632879,0.433842184,2015
Garrison Prop & Cas Ins Co - 21253,1474737,0.00157236,1504431,129287,0.085937474,2015
USAA Gen Ind Co - 18600,1435563,0.001530593,1333499,461030,0.345729543,2015
American Reliable Ins Co - 19615,1417890,0.00151175,1312646,2673731,2.0369018,2015
Aspen Amer Ins Co - 43460,1410005,0.001503343,1057335,972675,0.919930769,2015
CSAA Ins Exch - 15539,1390252,0.001482282,1420748,441563,0.310796144,2015
Sentry Select Ins Co - 21180,1323674,0.001411297,1284714,-95387,-0.074247654,2015
Dorinco Reins Co - 33499,1319065,0.001406383,1377796,0,0,2015
Oregon Mut Ins Co - 14907,1296413,0.001382232,1306687,349520,0.267485634,2015
Federal Ins Co - 20281,1225776,0.001306919,1201893,290208,0.241459098,2015
Riverport Ins Co - 36684,1214283,0.001294665,1223521,73360,0.059958105,2015
Wesco Ins Co - 25011,1205363,0.001285154,1064875,228587,0.214660876,2015
Employers Mut Cas Co - 21415,1150409,0.001226563,1095482,3972200,3.625983814,2015
West Amer Ins Co - 44393,1139994,0.001215458,1000525,2646,0.002644612,2015
Integon Natl Ins Co - 29742,1112884,0.001186553,764805,292728,0.382748544,2015
United States Fire Ins Co - 21113,1112228,0.001185854,596324,133173,0.223323227,2015
Financial Pacific Ins Co - 31453,1075102,0.00114627,1382469,1064355,0.769894298,2015
St Paul Fire & Marine Ins Co - 24767,1013326,0.001080405,1081342,522380,0.483084907,2015
Travelers Ind Co Of CT - 25682,986956,0.001052289,892062,965069,1.081840724,2015
Pacific Employers Ins Co - 22748,933518,0.000995314,816235,226401,0.277372325,2015
Universal Underwriters Ins Co - 41181,882510,0.000940929,929449,2222008,2.390672323,2015
Personal Express Ins Co - 12832,871825,0.000929537,901068,73707,0.081799598,2015
Security Natl Ins Co - 19879,843798,0.000899655,836093,366666,0.438546908,2015
Amica Mut Ins Co - 19976,831885,0.000886953,796638,158586,0.199069088,2015
Eagle W Ins Co - 12890,754737,0.000804698,727586,311500,0.428128084,2015
Greenwich Ins Co - 22322,734853,0.000783498,745692,582755,0.781495577,2015
Federated Serv Ins Co - 28304,731582,0.00078001,702493,-55853,-0.079506842,2015
Topa Ins Co - 18031,720459,0.000768151,607411,80899,0.13318659,2015
Grange Ins Assn - 22101,715518,0.000762883,732634,1448149,1.976633626,2015
Atlantic Specialty Ins Co - 27154,711779,0.000758897,559423,-1587267,-2.837328819,2015
Seneca Ins Co Inc - 10936,687444,0.000732951,618469,-17760,-0.028716071,2015
Horace Mann Ins Co - 22578,685742,0.000731136,688359,969153,1.407917961,2015
Granite State Ins Co - 23809,683006,0.000728219,624219,169386,0.271356687,2015
Truck Ins Exch - 21709,642668,0.000685211,617210,239521,0.388070511,2015
United Cas Ins Co Of Amer - 11142,622312,0.000663507,623052,63033,0.101168121,2015
Ohio Cas Ins Co - 24074,593102,0.000632364,528370,43549,0.082421409,2015
Geovera Ins Co - 10799,574391,0.000612414,567055,240690,0.424456181,2015
Insurance Co of N Amer - 22713,511994,0.000545886,481340,138345,0.287416379,2015
Merced Prop & Cas Co - 15768,436088,0.000464956,436374,593265,1.359533336,2015
American States Ins Co - 19704,364175,0.000388282,427617,-11335,-0.026507365,2015
Mapfre Ins Co - 23876,342569,0.000365246,297640,90112,0.302755006,2015
Armed Forces Ins Exch - 41459,335888,0.000358123,339245,75186,0.221627437,2015
XL Specialty Ins Co - 37885,334649,0.000356802,257730,224979,0.872925154,2015
General Ins Co Of Amer - 24732,317953,0.000339001,373869,-14926,-0.039923075,2015
Guideone Specialty Mut Ins Co - 14559,306480,0.000326768,286441,8608,0.030051564,2015
Citizens Ins Co Of Amer - 31534,282652,0.000301363,181349,20289,0.111878202,2015
Massachusetts Bay Ins Co - 22306,276409,0.000294706,183246,64764,0.353426541,2015
First Natl Ins Co Of Amer - 24724,276133,0.000294412,319332,-7503,-0.023495923,2015
Nationwide Mut Fire Ins Co - 23779,270788,0.000288713,278974,151962,0.544717429,2015
Hanover Ins Co - 22292,246912,0.000263257,281502,31751,0.112791383,2015
Ace Amer Ins Co - 22667,233649,0.000249116,191422,-10599,-0.055369811,2015
American Economy Ins Co - 19690,222508,0.000237237,246542,7221,0.029289127,2015
Hartford Cas Ins Co - 29424,215144,0.000229386,218876,13936,0.063670754,2015
Mitsui Sumitomo Ins Co of Amer - 20362,210757,0.000224708,211276,33427,0.158214847,2015
Sutter Ins Co - 32107,210012,0.000223914,216702,1682,0.007761811,2015
California Cas Ind Exch - 20117,194878,0.000207778,189733,82370,0.434136392,2015
Sequoia Ins Co - 22985,192685,0.00020544,201190,72001,0.35787564,2015
Markel Amer Ins Co - 28932,188740,0.000201234,188740,22307,0.118189043,2015
Peerless Ind Ins Co - 18333,181564,0.000193583,174545,-22343,-0.128007104,2015
California Mut Ins Co - 27480,176443,0.000188123,173562,4642,0.026745486,2015
Great Northern Ins Co - 20303,161033,0.000171693,199310,111,0.000556921,2015
Horace Mann Prop & Cas Ins Co - 22756,154441,0.000164665,152053,173865,1.143449981,2015
Kookmin Best Ins Co Ltd - 37800,146212,0.000155891,143534,60867,0.424059805,2015
Continental Ins Co - 35289,132716,0.000141501,147860,-170473,-1.152935209,2015
Church Mut Ins Co - 18767,120260,0.000128221,114330,771936,6.751823668,2015
Starnet Ins Co - 40045,118153,0.000125974,114745,3085,0.026885703,2015
Pacific Prop & Cas Co - 11048,116194,0.000123886,127502,26127,0.204914433,2015
First Amer Prop & Cas Ins Co - 37710,111169,0.000118528,111169,140386,1.262816073,2015
Wawanesa Gen Ins Co - 10683,110636,0.00011796,107655,51635,0.479634016,2015
Nova Cas Co - 42552,108076,0.00011523,106592,35356,0.331694686,2015
Harco Natl Ins Co - 26433,103096,0.000109921,101396,1932,0.019054006,2015
Standard Guar Ins Co - 42986,95343,0.000101654,103847,-1403,-0.01351026,2015
Crusader Ins Co - 14010,93921,0.000100138,89812,33117,0.368736917,2015
Metropolitan Drt Prop & Cas Ins Co - 25321,92373,9.85E-05,81676,31802,0.389367746,2015
Coastal Select Ins Co - 10887,91721,9.78E-05,92927,39822,0.428529921,2015
Great Amer Ins Co - 16691,90473,9.65E-05,87935,179333,2.039381361,2015
Hanover Amer Ins Co - 36064,82438,8.79E-05,64590,-6584,-0.101935284,2015
Cincinnati Ins Co - 10677,81605,8.70E-05,92647,5388,0.058156227,2015
Great Amer Assur Co - 26344,79461,8.47E-05,69300,-35030,-0.505483405,2015
American Zurich Ins Co - 40142,76372,8.14E-05,69826,1673,0.023959557,2015
Western Mut Ins Co - 13625,72117,7.69E-05,73164,6927,0.09467771,2015
Allianz Underwriters Ins Co - 36420,68457,7.30E-05,48490,0,0,2015
Vigilant Ins Co - 20397,67887,7.24E-05,70043,16785,0.239638508,2015
New Hampshire Ins Co - 23841,56941,6.07E-05,54254,4323,0.079680761,2015
American Cas Co Of Reading PA - 20427,54673,5.83E-05,77503,-28832,-0.372011406,2015
Guideone Mut Ins Co - 15032,54161,5.77E-05,40417,1441,0.035653314,2015
Transguard Ins Co Of Amer Inc - 28886,52499,5.60E-05,52417,-38745,-0.73916859,2015
Mitsui Sumitomo Ins USA Inc - 22551,50987,5.44E-05,42209,14361,0.340235495,2015
Zurich Amer Ins Co Of IL - 27855,47258,5.04E-05,46717,-65466,-1.401331421,2015
Monterey Ins Co - 23540,46770,4.99E-05,42614,20859,0.489487023,2015
General Cas Co Of WI - 24414,45833,4.89E-05,43113,6922,0.160554821,2015
Federated Rural Electric Ins Exch - 11118,43130,4.60E-05,43063,-1335,-0.031001091,2015
Wausau Underwriters Ins Co - 26042,40836,4.35E-05,42163,1301,0.030856438,2015
Indemnity Ins Co Of North Amer - 43575,39246,4.18E-05,36188,4538,0.125400685,2015
Hudson Ins Co - 25054,37266,3.97E-05,37508,-13312,-0.354910952,2015
National Interstate Ins Co - 32620,36254,3.87E-05,31519,0,0,2015
Penn Amer Ins Co - 32859,31276,3.33E-05,31401,-3398,-0.108213114,2015
Transportation Ins Co - 20494,30862,3.29E-05,7124,-8625,-1.210696238,2015
Electric Ins Co - 21261,29250,3.12E-05,28115,0,0,2015
Empire Fire & Marine Ins Co - 21326,28952,3.09E-05,29978,256,0.008539596,2015
Everest Natl Ins Co  - 10120,28594,3.05E-05,17566,1782,0.101445975,2015
Golden Eagle Ins Corp - 10836,25714,2.74E-05,72578,-9273,-0.12776599,2015
Corepointe Ins Co - 10499,24914,2.66E-05,24410,-501,-0.020524375,2015
American Fire & Cas Co - 24066,22498,2.40E-05,16465,-106,-0.006437899,2015
Scottsdale Ind Co - 15580,22131,2.36E-05,18498,4927,0.266353119,2015
AXIS Reins Co - 20370,20968,2.24E-05,143362,19064,0.132978056,2015
Philadelphia Ind Ins Co - 18058,18905,2.02E-05,15943,4,0.000250894,2015
St Paul Mercury Ins Co - 24791,18332,1.95E-05,25674,-36150,-1.408039262,2015
Praetorian Ins Co - 37257,17084,1.82E-05,19876,3920,0.197222781,2015
Diamond State Ins Co - 42048,16693,1.78E-05,17003,997,0.058636711,2015
Public Serv Ins Co - 15059,16346,1.74E-05,19186,6164,0.32127593,2015
Imperium Ins Co - 35408,15169,1.62E-05,20702,14534,0.702057772,2015
Freedom Specialty Ins Co - 22209,14501,1.55E-05,6862,5311,0.773972603,2015
Columbia Ins Co - 27812,13014,1.39E-05,3154,2004,0.63538364,2015
North Amer Specialty Ins Co - 29874,12053,1.29E-05,10137,2169,0.21396863,2015
New York Marine & Gen Ins Co - 16608,11004,1.17E-05,11128,-8315,-0.747214234,2015
Allstate Ins Co - 19232,10597,1.13E-05,9877,275,0.027842462,2015
Berkley Regional Ins Co - 29580,10388,1.11E-05,9083,-450,-0.049543102,2015
Florists Mut Ins Co - 13978,10229,1.09E-05,10229,0,0,2015
Amerisure Mut Ins Co - 23396,8737,9.32E-06,5924,397,0.06701553,2015
Farmland Mut Ins Co - 13838,8621,9.19E-06,8430,3153,0.374021352,2015
Northland Ins Co - 24015,8170,8.71E-06,6127,2938,0.479516892,2015
National Fire Ins Co Of Hartford - 20478,6611,7.05E-06,3407,-4516,-1.325506311,2015
Berkley Natl Ins Co - 38911,6594,7.03E-06,8056,-1586,-0.196871897,2015
Pacific Ind Co - 20346,6516,6.95E-06,6817,1671,0.245122488,2015
Berkshire Hathaway Specialty Ins Co - 22276,5410,5.77E-06,373,238,0.638069705,2015
Alaska Natl Ins Co - 38733,5338,5.69E-06,7927,139387,17.58382743,2015
Netherlands Ins Co The - 24171,4802,5.12E-06,4852,-381,-0.07852432,2015
Technology Ins Co Inc - 42376,4788,5.10E-06,2104,485,0.230513308,2015
Acceptance Ind Ins Co - 20010,4714,5.03E-06,1302,25,0.019201229,2015
Mid Century Ins Co - 21687,4393,4.68E-06,5271,-5655,-1.072851451,2015
Star Ins Co - 18023,3547,3.78E-06,2457,17,0.006919007,2015
Capitol Ind Corp - 10472,3464,3.69E-06,2850,551,0.193333333,2015
Great Divide Ins Co - 25224,3036,3.24E-06,6668,79,0.01184763,2015
Employers Ins  of Wausau - 21458,2914,3.11E-06,1530,-268,-0.175163399,2015
Middlesex Ins Co - 23434,2744,2.93E-06,2581,-194,-0.075164665,2015
Markel Ins Co - 38970,2130,2.27E-06,4799,8605,1.793081892,2015
Valley Forge Ins Co - 20508,2064,2.20E-06,2824,780,0.276203966,2015
St Paul Guardian Ins Co - 24775,1444,1.54E-06,4569,-8912,-1.950536222,2015
American Family Home Ins Co - 23450,1309,1.40E-06,1370,-54982,-40.13284672,2015
National Cas Co - 11991,1136,1.21E-06,1109,954,0.860234445,2015
Vanliner Ins Co - 21172,1050,1.12E-06,3715,0,0,2015
Geovera Specialty Ins Co - 10182,900,9.60E-07,1010,423,0.418811881,2015
Samsung Fire & Marine Ins Co Ltd - 38300,898,9.57E-07,4568,4000,0.875656743,2015
American Ins Co - 21857,593,6.32E-07,533,-13885,-26.05065666,2015
Utica Mut Ins Co - 25976,560,5.97E-07,550,12502,22.73090909,2015
Regent Ins Co - 24449,480,5.12E-07,838,1,0.001193317,2015
Allied World Specialty Ins Co - 16624,359,3.83E-07,761,-1168,-1.534822602,2015
FMH Ag Risk Ins Co  - 36781,303,3.23E-07,303,0,0,2015
Great Amer Alliance Ins Co - 26832,289,3.08E-07,65,-13,-0.2,2015
North Pointe Ins Co - 27740,255,2.72E-07,105,16,0.152380952,2015
Chubb Natl Ins Co - 10052,204,2.18E-07,60,-1738,-28.96666667,2015
Atain Ins Co - 29033,67,7.14E-08,218,0,0,2015
Ace Amer Ins Co - 22667,"139,977",0.01%,"139,522","-16,244,311",-11642.83%,2014
Ace Prop & Cas Ins Co - 20699,"19,379",0.00%,"3,186",196,6.15%,2014
Affiliated Fm Ins Co - 10014,"30,526,845",3.10%,"30,360,622","9,296,157",30.62%,2014
Alaska Natl Ins Co - 38733,"7,977",0.00%,"25,528","252,151",987.74%,2014
Allianz Global Risks US Ins Co - 35300,"15,309,775",1.56%,"14,561,135","277,028",1.90%,2014
Allied Prop & Cas Ins Co - 42579,"12,141,316",1.23%,"12,172,268","3,647,398",29.96%,2014
Allied World Assur Co US Inc - 19489,"2,768,377",0.28%,"2,351,827","523,227",22.25%,2014
Allied World Specialty Ins Co - 16624,"1,842",0.00%,"4,092",-777,-18.99%,2014
Allstate Ins Co - 19232,"8,519",0.00%,"8,019","3,587",44.73%,2014
Amco Ins Co - 19100,"37,283,455",3.79%,"36,453,589","9,556,924",26.22%,2014
American Alt Ins Corp - 19720,"218,066",0.02%,"-209,731","-293,499",139.94%,2014
American Automobile Ins Co - 21849,"5,874",0.00%,"5,874",-44,-0.75%,2014
American Cas Co Of Reading PA - 20427,"79,792",0.01%,"50,009","6,984",13.97%,2014
American Economy Ins Co - 19690,"295,224",0.03%,"312,596","103,915",33.24%,2014
American Family Home Ins Co - 23450,"2,779",0.00%,"2,779","50,466",1815.98%,2014
American Fire & Cas Co - 24066,"12,081",0.00%,"10,759",289,2.69%,2014
American Guar & Liab Ins - 26247,"11,038,908",1.12%,"11,746,273","-1,687,146",-14.36%,2014
American Home Assur Co - 19380,"4,421,781",0.45%,"2,131,602","303,832",14.25%,2014
American Ins Co - 21857,"6,220",0.00%,"33,679","-32,734",-97.19%,2014
American Modern Home Ins Co - 23469,"21,584,285",2.19%,"15,080,778","9,375,749",62.17%,2014
American Reliable Ins Co - 19615,"1,244,226",0.13%,"1,277,267","1,119,045",87.61%,2014
American Security Ins Co - 42978,"70,966,849",7.21%,"78,666,485","14,057,073",17.87%,2014
American States Ins Co - 19704,"601,089",0.06%,"639,304","179,929",28.14%,2014
American Zurich Ins Co - 40142,"37,543",0.00%,"34,702","-1,486",-4.28%,2014
Amerisure Mut Ins Co - 23396,"2,450",0.00%,"2,025",140,6.91%,2014
Amica Mut Ins Co - 19976,"770,949",0.08%,"728,853","48,444",6.65%,2014
Arch Ins Co - 11150,"1,263,235",0.13%,"1,388,673","-284,179",-20.46%,2014
Armed Forces Ins Exch - 41459,"342,527",0.03%,"345,837","199,547",57.70%,2014
Aspen Amer Ins Co - 43460,"889,907",0.09%,"710,463","500,414",70.43%,2014
Associated Ind Corp - 21865,"3,917,821",0.40%,"3,936,067","242,686",6.17%,2014
Atain Ins Co - 29033,"1,225",0.00%,"1,074", -   ,0.00%,2014
Atlantic Specialty Ins Co - 27154,"360,792",0.04%,"535,649","1,051,543",196.31%,2014
AXA Ins Co - 33022,"3,452,683",0.35%,"2,807,891","-1,010,116",-35.97%,2014
Axis Ins Co - 37273,"8,005,670",0.81%,"7,572,586","26,723,860",352.90%,2014
AXIS Reins Co - 20370,"262,771",0.03%,"257,873","24,139",9.36%,2014
Berkley Natl Ins Co - 38911,"39,766",0.00%,"37,136",886,2.39%,2014
Berkley Regional Ins Co - 29580,"7,712",0.00%,"6,592","-2,842",-43.11%,2014
California Capital Ins Co - 13544,"13,933,848",1.42%,"13,291,929","1,230,273",9.26%,2014
California Cas Ind Exch - 20117,"184,627",0.02%,"178,553","53,834",30.15%,2014
California Mut Ins Co - 27480,"172,274",0.02%,"167,823","-5,500",-3.28%,2014
Capitol Ind Corp - 10472,407,0.00%,58,13,22.41%,2014
Catlin Ind Co - 24503,135,0.00%,188,-24,-12.77%,2014
Century Natl Ins Co - 26905,"6,852,512",0.70%,"7,026,075","465,376",6.62%,2014
Church Mut Ins Co - 18767,"108,350",0.01%,"102,008","288,021",282.35%,2014
Citizens Ins Co Of Amer - 31534,"162,730",0.02%,"165,980","36,039",21.71%,2014
Civic Prop & Cas Co  - 10315,"1,947,179",0.20%,"1,887,944","481,522",25.51%,2014
Civil Serv Employees Ins Co - 10693,"4,870,354",0.49%,"4,981,387","160,554",3.22%,2014
Coastal Select Ins Co - 10887,"93,747",0.01%,"94,622","28,216",29.82%,2014
Continental Cas Co - 20443,"5,146,120",0.52%,"5,560,638","1,736,109",31.22%,2014
Continental Ins Co - 35289,"237,246",0.02%,"280,531","240,084",85.58%,2014
Corepointe Ins Co - 10499,"27,999",0.00%,"23,099", -   ,0.00%,2014
Crestbrook Ins Co - 18961,"9,131",0.00%,"7,030","2,990",42.53%,2014
Crusader Ins Co - 14010,"89,327",0.01%,"85,574","-23,043",-26.93%,2014
CSAA Fire & Cas Ins Co - 10921,"50,099,368",5.09%,"48,946,480","22,879,748",46.74%,2014
CSAA Ins Exch - 15539,"1,924,952",0.20%,"1,844,366","609,225",33.03%,2014
CSE Safeguard Ins Co - 18953,"8,665,193",0.88%,"8,249,655","1,878,279",22.77%,2014
Diamond State Ins Co - 42048,"21,191",0.00%,"12,558","2,234",17.79%,2014
Dorinco Reins Co - 33499,"1,477,019",0.15%,"1,498,058", -   ,0.00%,2014
Eagle W Ins Co - 12890,"696,322",0.07%,"643,279","4,722",0.73%,2014
Electric Ins Co - 21261,"26,847",0.00%,"25,676", -   ,0.00%,2014
Empire Fire & Marine Ins Co - 21326,"38,513",0.00%,"31,509",489,1.55%,2014
Employers Mut Cas Co - 21415,"1,055,239",0.11%,"993,163","1,535,184",154.58%,2014
Encompass Ins Co - 10358,"5,131,216",0.52%,"5,020,746","3,381,588",67.35%,2014
Everest Natl Ins Co  - 10120,"41,337",0.00%,"34,657","9,561",27.59%,2014
Exact Prop & Cas Co Inc - 10318,"1,779,066",0.18%,"1,745,940","131,891",7.55%,2014
Factory Mut Ins Co - 21482,"26,056,140",2.65%,"28,387,608","11,142,297",39.25%,2014
Farmers Ins Exch - 21652,"14,360,754",1.46%,"15,491,028","5,818,838",37.56%,2014
Farmland Mut Ins Co - 13838,"6,181",0.00%,"3,552","2,048",57.66%,2014
Federal Ins Co - 20281,"1,159,798",0.12%,"1,212,700","260,909",21.51%,2014
Federated Mut Ins Co - 13935,"3,167,630",0.32%,"3,103,021","-369,105",-11.90%,2014
Federated Rural Electric Ins Exch - 11118,"43,146",0.00%,"42,786",412,0.96%,2014
Federated Serv Ins Co - 28304,"674,989",0.07%,"714,902","-20,837",-2.91%,2014
Fidelity & Deposit Co Of MD  - 39306,"5,654,600",0.57%,"5,581,355","1,858,766",33.30%,2014
Financial Pacific Ins Co - 31453,"2,002,208",0.20%,"1,960,114","412,032",21.02%,2014
Fire Ins Exch - 21660,"88,268,332",8.97%,"95,151,919","28,797,760",30.27%,2014
Firemans Fund Ins Co - 21873,"3,433,683",0.35%,"3,667,953","705,515",19.23%,2014
First Amer Prop & Cas Ins Co - 37710,"110,756",0.01%,"110,756","214,192",193.39%,2014
First Amer Specilaty Ins Co - 34525,"23,218,388",2.36%,"21,400,524","13,980,223",65.33%,2014
First Natl Ins Co Of Amer - 24724,"393,121",0.04%,"389,413","71,282",18.30%,2014
Florists Mut Ins Co - 13978,"16,500",0.00%,"16,500", -   ,0.00%,2014
Foremost Ins Co Grand Rapids MI - 11185,"23,787,326",2.42%,"23,413,638","10,885,988",46.49%,2014
Freedom Specialty Ins Co - 22209,"1,545",0.00%,643,"1,000",155.52%,2014
Garrison Prop & Cas Ins Co - 21253,"1,535,906",0.16%,"1,437,757","510,524",35.51%,2014
General Cas Co Of WI - 24414,"46,503",0.00%,"40,694","2,843",6.99%,2014
General Ins Co Of Amer - 24732,"475,680",0.05%,"531,982","2,549",0.48%,2014
Geovera Ins Co - 10799,"558,911",0.06%,"550,396","-49,608",-9.01%,2014
Geovera Specialty Ins Co - 10182,"1,105",0.00%,"1,190",349,29.33%,2014
Golden Bear Ins Co - 39861,"1,191,884",0.12%,"987,018","242,960",24.62%,2014
Golden Eagle Ins Corp - 10836,"169,374",0.02%,"219,622","1,568",0.71%,2014
Grange Ins Assn - 22101,"751,673",0.08%,"759,306","582,246",76.68%,2014
Granite State Ins Co - 23809,"587,050",0.06%,"588,205","-433,677",-73.73%,2014
Great Amer Alliance Ins Co - 26832,"14,937",0.00%,"14,993","4,897",32.66%,2014
Great Amer Assur Co - 26344,"100,111",0.01%,"99,678","15,866",15.92%,2014
Great Amer Ins Co - 16691,"116,046",0.01%,"155,797","2,903",1.86%,2014
Great Amer Ins Co of NY - 22136,"1,851,783",0.19%,"2,025,098","-992,073",-48.99%,2014
